Mobile_Phone_Title,Mobile_Phone_Price
"Itel A48 32 GB, 2 GB RAM, Gradation Purple, Mobile Phone (JioExclusive offer available)","6,599.00"
"OPPO A15s 64 GB, 4 GB RAM, Dynamic Black, Mobile Phone","9,990.00"
"OPPO A15s 64 GB, 4 GB RAM, Fancy White, Mobile Phone","9,990.00"
"Redmi 9A 32 GB, 3 GB RAM, Sea Blue, Smartphone","7,000.00"
"Redmi 9A Sport 32 GB, 2 GB RAM, Metallic Blue, Mobile Phone (Jio Exclusive)","7,499.00"
"Redmi 9A Sport 32 GB, 2 GB RAM, Coral Green, Mobile Phone (Jio Exclusive)","7,499.00"
"realme C21Y 32 GB, 3 GB, Cross Black, Mobile Phone","9,499.00"
"realme C21Y 32 GB, 3 GB, Cross Blue, Mobile Phone","9,499.00"
"VIVO Y15c 32 GB, 3 GB RAM, Mystic Blue, Mobile Phone","9,499.00"
"Infinix Smart 6 64GB, 2GB RAM, Polar Black, Mobile Phone","7,499.00"
"Realme C30 32GB, 3GB RAM, Lake Blue, Mobile Phone","7,999.00"
"Redmi 10 64 GB, 4 GB RAM, Midnight Black, Mobile Phone","9,999.00"
"Infinix Smart 6 64GB, 2GB RAM, Heart of Ocean, Mobile Phone","7,499.00"
"Infinix Smart 6 64GB, 2GB RAM, Light Sea Green, Mobile Phone","7,499.00"
"Infinix Hot 12 Play 64 GB, 4 GB RAM, Racing Black, Mobile Phone","8,999.00"
"Infinix Smart 6 64GB, 2GB RAM, Starry Purple, Mobile Phone","7,499.00"
"Nokia C12 Pro 64 GB 2 GB RAM, Charcoal Mobile Phone","6,999.00"
"Poco C series C 51 64 GB, 4 GB RAM, Royal Blue, Mobile Phone","8,499.00"
"Redmi 9A Sport 32 GB, 2 GB RAM, Carbon Black, Mobile Phone (Jio Exclusive)","7,499.00"
"Realme C30 32 GB, 2 GB RAM, Denim Black, Mobile Phone","6,999.00"
"Realme C30s 32 GB, 2 GB RAM, Stripe Blue, Mobile Phone","7,499.00"
"Realme C30s 64 GB, 4 GB RAM, Stripe Blue, Mobile Phone","8,999.00"
"Nokia C12 Pro 64 GB 2 GB RAM, Light Mint Mobile Phone","6,999.00"
"Nokia C12 Pro 64 GB 3 GB RAM, Dark Cyan Mobile Phone","7,499.00"
"Nokia C12 Pro 64 GB 2 GB RAM, Dark Cyan Mobile Phone","6,999.00"
"Nokia C12 Pro 64 GB 3 GB RAM, Charcoal Mobile Phone","7,499.00"
"Nokia C12 Pro 64 GB 3 GB RAM, Light Mint Mobile Phone","7,499.00"
"Samsung Galaxy A04e 64 GB, 3 GB RAM, Copper, Mobile Phone","9,999.00"
"Tecno POP 5 LTE 32 GB RAM, 2 GB RAM, Turquoise Cyan, Mobile Phone","6,899.00"
"Vivo Y1s 32 GB, 2 GB RAM, Aurora Blue, Mobile Phone (JioExclusive offer available)","8,490.00"
"Nokia C30 32 GB, 3 GB RAM, Green Mobile Phone (JioExclusive offer available)","9,999.00"
"Itel Vision 2S 32 GB, 2 GB RAM, Gradation Blue, Mobile Phone","7,349.00"
"Redmi 10 64 GB, 4 GB RAM, Pacific Blue, Mobile Phone","9,999.00"
"Redmi 10A 64 GB, 4 GB RAM, Slate Grey,Mobile Phone","8,599.00"
"Redmi 12C 64 GB, 4 GB RAM, Royal Blue, Mobile Phone","8,999.00"
"Motorola E32s 32 GB, 3 GB RAM, Misty Silver, Mobile Phone","8,999.00"
"Redmi 10A 32 GB, 3 GB RAM, Charcoal Black, Mobile Phone","7,499.00"
"Redmi 10A 32 GB, 3 GB RAM, Slate Grey, Mobile Phone","7,499.00"
"Motorola E7 Power 64 GB, 4 GB RAM, Oxy Red, Mobile Phone","8,999.00"
"Redmi 10A 32 GB, 3 GB RAM, Sea Blue, Mobile Phone","7,499.00"
