Product_title,Product_Price,Product_brand_name
"Realme C33 32 GB, 3 GB RAM, Aqua Blue, Mobile Phone",8999,Realme
"Realme C30s 32 GB, 2 GB RAM, Stripe Black, Mobile Phone",7499,Realme
"Realme C30 32 GB, 3 GB RAM, Denim Black, Mobile Phone",7499,Realme
"Realme Narzo 50i Prime 32 GB, 3 GB RAM, Mint Green, Mobile Phone",7999,Realme
"realme C21Y 32 GB, 3 GB RAM, Cross Blue Mobile Phone",9499,Realme
"realme C21Y 32 GB, 3 GB, Cross Black, Mobile Phone",9499,Realme
"realme C21Y 32 GB, 3 GB, Cross Blue, Mobile Phone",9499,Realme
"Realme C30s 64 GB, 4 GB RAM, Stripe Blue, Mobile Phone",8999,Realme
"Realme C30 32 GB, 2 GB RAM, Denim Black, Mobile Phone",6999,Realme
"Realme C33 64 GB, 4 GB RAM, Aqua Blue, Mobile Phone",9999,Realme
"realme C21Y 32 GB, 3 GB RAM, Cross Black Mobile Phone",9499,Realme
"Realme C30s 32 GB, 2 GB RAM, Stripe Blue, Mobile Phone",7499,Realme
"Realme C30s 64 GB, 4 GB RAM, Stripe Black, Mobile Phone",8999,Realme
"Realme C30 32GB, 3GB RAM, Lake Blue, Mobile Phone",7999,Realme
"Realme C31 32GB, 3GB, Light Silver, Mobile Phone",9299,Realme
"Realme C30 32GB, 2GB RAM, Bamboo Green, Mobile Phone",6999,Realme
"Realme C31 32GB, 3GB, Dark Green, Mobile Phone",9299,Realme
"Realme C30 32GB, 3GB RAM, Bamboo Green, Mobile Phone",7999,Realme
"Realme C33 64 GB, 4 GB RAM, Night Sea, Mobile Phone",9999,Realme
"Realme C33 64 GB, 4 GB RAM, Sandy Gold, Mobile Phone",9999,Realme
"Nokia C20 Plus 32 GB, 3 GB RAM, Ocean Blue, Mobile Phone (JioExclusive offer available)",8499,Nokia
"Nokia C12 Pro 64 GB 2 GB RAM, Charcoal Mobile Phone",6999,Nokia
"Nokia C12 Pro 64 GB 2 GB RAM, Light Mint Mobile Phone",6999,Nokia
"Nokia C12 Pro 64 GB 3 GB RAM, Dark Cyan Mobile Phone",7499,Nokia
"Nokia C12 Pro 64 GB 2 GB RAM, Dark Cyan Mobile Phone",6999,Nokia
"Nokia C12 Pro 64 GB 3 GB RAM, Light Mint Mobile Phone",7499,Nokia
"Nokia C30 32 GB, 3 GB RAM, Green Mobile Phone (JioExclusive offer available)",9999,Nokia
"Nokia C30 32 GB, 3 GB RAM, White Mobile Phone (JioExclusive offer available)",9999,Nokia
"Nokia C12 Pro 64 GB 3 GB RAM, Charcoal Mobile Phone",7499,Nokia
"Nokia C20 Plus 32 GB, 2 GB RAM, Ocean Blue, Mobile Phone (JioExclusive offer available)",7499,Nokia
"Nokia C20 Plus 32 GB, 3 GB RAM, Graphite Black, Mobile Phone (JioExclusive offer available)",8499,Nokia
"Nokia C01 Plus 16 GB, 2 GB RAM, Grey, Mobile Phone (JioExclusive offer available)",5499,Nokia
"Nokia C01 Plus 32 GB, 2 GB RAM, Blue, Mobile Phone",5999,Nokia
"Itel A27 32 GB, 2 GB RAM, Deep Grey, Mobile Phone",4999,Itel
"Itel A27 32 GB, 2 GB RAM, Silver Purple, Mobile Phone",4999,Itel
"itel A23 Pro 8 GB, 1 GB RAM, Lake Blue, Mobile Phone",4040,Itel
"Itel A48 32 GB, 2 GB RAM, Gradation Purple, Mobile Phone (JioExclusive offer available)",6599,Itel
"itel A23 Pro 8 GB, 1 GB RAM, Sapphire Blue, Mobile Phone",4040,Itel
"Itel Vision 2S 32 GB, 2 GB RAM, Gradation Blue, Mobile Phone",7349,Itel
"itel Vision 3 64 GB, 3 GB RAM, Deep Ocean Black, Mobile Phone",7299,Itel
"Itel Vision 2S 32 GB, 2 GB RAM, Deep Blue, Mobile Phone",7349,Itel
"Itel Vision 2S 32 GB, 2 GB RAM, Gradation Purple, Mobile Phone",7349,Itel
"Itel A48 32 GB, 2 GB RAM, Gradation Green, Mobile Phone (JioExclusive offer available)",6599,Itel
"itel Vision 3 64 GB, 3 GB RAM, Jewel Blue, Mobile Phone",7299,Itel
"itel Vision 3 64 GB, 3 GB RAM, Multi Green, Mobile Phone",7299,Itel
"Vivo Y1s 32 GB, 2 GB RAM, Olive Black, Mobile Phone (JioExclusive offer available)",8490,VIVO
"VIVO Y15c 32 GB, 3 GB RAM, Mystic Blue, Mobile Phone",9499,VIVO
"Vivo Y1s 32 GB, 2 GB RAM, Aurora Blue, Mobile Phone (JioExclusive offer available)",8490,VIVO
